Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
10347	ENSG00000064687	ABCA7	ABCA7	Q8IZY2
10351	ENSG00000141338	ABCA8	ABCA8	O94911
10350	ENSG00000154258	ABCA9	ABCA9	Q8IUA7
8647	ENSG00000073734	ABCB11	ABCB11	O95342
5243	ENSG00000085563	ABCB1	ABCB1	P08183
5244	ENSG00000005471	ABCB4	ABCB4	P21439
22	ENSG00000131269	ABCB7	ABCB7	O75027
11194	ENSG00000197150	ABCB8	ABCB8	Q9NUT2
23457	ENSG00000150967	ABCB9	ABCB9	Q9NP78
4363	ENSG00000103222	ABCC1	ABCC1	P33527
89845	ENSG00000124574	ABCC10	ABCC10	Q5T3U5
94160	ENSG00000140798	ABCC12	ABCC12	Q96J65
1244	ENSG00000023839	ABCC2	ABCC2	Q92887
10257	ENSG00000125257	ABCC4	ABCC4	O15439
10057	ENSG00000114770	ABCC5	ABCC5	O15440
368	ENSG00000091262	ABCC6	ABCC6	O95255
6833	ENSG00000006071	ABCC8	ABCC8	Q09428
10060	ENSG00000069431	ABCC9	ABCC9	O60706
215	ENSG00000101986	ABCD1	ABCD1	P33897
225	ENSG00000173208	ABCD2	ABCD2	Q9UBJ2
5825	ENSG00000117528	ABCD3	ABCD3	P28288
5826	ENSG00000119688	ABCD4	ABCD4	O14678
6059	ENSG00000164163	ABCE1	ABCE1	P61221
23	ENSG00000204574	ABCF1	ABCF1	Q8NE71
10061	ENSG00000033050	ABCF2	ABCF2	Q9UG63
55324	ENSG00000161204	ABCF3	ABCF3	Q9NUQ8
9619	ENSG00000160179	ABCG1	ABCG1	P45844
9429	ENSG00000118777	ABCG2	ABCG2	Q9UNQ0
64137	ENSG00000172350	ABCG4	ABCG4	Q9H172
64240	ENSG00000138075	ABCG5	ABCG5	Q9H222
55347	ENSG00000144827	ABHD10	ABHD10	Q9NUJ1
83451	ENSG00000106077	ABHD11	ABHD11	Q8NFV4
26090	ENSG00000100997	ABHD12	ABHD12	Q8N2K0
145447	ENSG00000131969	ABHD12B	ABHD12B	Q7Z5M8
84945	ENSG00000139826	ABHD13	ABHD13	Q7L211
25864	ENSG00000248487	ABHD14A	ABHD14A	Q9BUJ0
84836	ENSG00000114779	ABHD14B	ABHD14B	Q96IU4
116236	ENSG00000168792	ABHD15	ABHD15	Q6UXT9
7920	ENSG00000204427	ABHD16A	ABHD16A	O95870
140701	ENSG00000183260	ABHD16B	ABHD16B	Q9H3Z7
81926	ENSG00000129968	ABHD17A	ABHD17A	Q96GS6
51104	ENSG00000107362	ABHD17B	ABHD17B	Q5VST6
58489	ENSG00000136379	ABHD17C	ABHD17C	Q6PCB6
11057	ENSG00000140526	ABHD2	ABHD2	P08910
171586	ENSG00000158201	ABHD3	ABHD3	Q8WU67
63874	ENSG00000100439	ABHD4	ABHD4	Q8TB40
51099	ENSG00000011198	ABHD5	ABHD5	Q8WTS1
57406	ENSG00000163686	ABHD6	ABHD6	Q9BV23
79575	ENSG00000127220	ABHD8	ABHD8	Q96I13
10006	ENSG00000136754	ABI1	ABI1	Q8IZP0
10152	ENSG00000138443	ABI2	ABI2	Q9NYB9
51225	ENSG00000108798	ABI3	ABI3	Q9P2A4
25890	ENSG00000154175	ABI3BP	ABI3BP	Q7Z7G0
25	ENSG00000097007	ABL1	ABL1	P00519
27	ENSG00000143322	ABL2	ABL2	P42684
3983	ENSG00000099204	ABLIM1	ABLIM1	O14639
84448	ENSG00000163995	ABLIM2	ABLIM2	Q6H8Q1
22885	ENSG00000173210	ABLIM3	ABLIM3	O94929
29	ENSG00000159842	ABR	ABR	Q12979
